,FirstName,LastName,State,Party,Cluster,VotesWParty,VotesWCluster
N00030744,Mike,Pompeo,KS,R,0.0,0.931333260138,0.928587276753
N00030752,Jeffrey,Duncan,SC,R,4.0,0.904629400893,0.903824247914
N00030768,Martha,Roby,AL,R,4.0,0.937060825648,0.934835218123
N00030770,Rick,Crawford,AR,R,4.0,0.929680637901,0.927455030376
N00030771,Paul,Gosar,AZ,R,0.0,0.877827184892,0.877401734739
N00030780,Cory,Gardner,CO,R,2.0,0.885670593771,0.541379372749
N00030788,Tom,Graves,GA,R,4.0,0.929065336334,0.931290943859
N00030801,Frank,Guinta,NH,R,3.0,0.931997740082,0.935548876446
N00030815,Chuck,Fleischmann,TN,R,4.0,0.961834147636,0.962449449202
N00030829,Ken,Buck,CO,R,0.0,0.866797504026,0.876600012809
N00030836,Rand,Paul,KY,R,2.0,0.709104728813,0.366758962665
N00030856,John,Garamendi,CA,D,1.0,0.91173167362,0.909506066096
N00030875,Ann,Kuster,NH,D,2.0,0.944595410628,0.616000356829
N00030880,Trey,Gowdy,SC,R,4.0,0.925817121469,0.926434443597
N00030891,Marlin,Stutzman,IN,R,4.0,0.877106664471,0.87791181745
N00030910,Mo,Brooks,AL,R,4.0,0.892502927829,0.890277320304
N00030949,Tom,Reed,NY,R,2.0,0.902829243522,0.703361742424
N00030957,Scott,DesJarlais,TN,R,2.0,0.888192385815,0.563760338896
N00030962,Scott,Rigell,VA,R,0.0,0.914667508418,0.916087962963
N00030967,Sean,Duffy,WI,R,4.0,0.897474518738,0.898089820304
N00030968,Reid,Ribble,WI,R,4.0,0.900318858879,0.899703557312
N00030980,Kelly,Ayotte,NH,R,0.0,0.79075049315,0.861483612936
N00031005,Vicky,Hartzler,MO,R,4.0,0.960839143244,0.95861353572
N00031006,Alan,Nunnelee,MS,R,4.0,0.0,0.0
N00031064,Ryan,Costello,PA,R,2.0,0.845575318401,0.753942276021
N00031103,Robert,Dold,IL,R,3.0,0.786999295491,0.825970300834
N00031104,Randy,Hultgren,IL,R,4.0,0.947295646684,0.948100799663
N00031127,Jim,Renacci,OH,R,4.0,0.923049562656,0.922244409676
N00031128,Bob,Gibbs,OH,R,4.0,0.958708461426,0.959513614405
N00031129,James,Lankford,OK,R,2.0,0.871219935936,0.454186799862
